ID;inventoryNumber;name;category_code;availabilityStatus_code;repairStatus_code;serialNumber;manufacturer;model;purchaseDate;warrantyEndDate;price;assignedTo_ID
2b2b2b2b-0000-0000-0000-000000000001;INV-0001;ThinkPad X1 Carbon;LAPTOP;ASSIGNED;OK;SN-LT-0001;Lenovo;X1 Carbon Gen 11;2024-03-01;2027-03-01;1850.00;1a1a1a1a-0000-0000-0000-000000000001
2b2b2b2b-0000-0000-0000-000000000002;INV-0002;Dell OptiPlex;DESKTOP;ASSIGNED;IN_REPAIR;SN-DT-0002;Dell;OptiPlex 7010;2022-06-15;2025-06-15;900.00;1a1a1a1a-0000-0000-0000-000000000002
2b2b2b2b-0000-0000-0000-000000000003;INV-0003;Dell UltraSharp 27";MONITOR;IN_STOCK;OK;SN-MN-0003;Dell;U2723QE;2023-01-10;2026-01-10;450.00;
2b2b2b2b-0000-0000-0000-000000000004;INV-0004;iPhone 14;PHONE;ASSIGNED;IN_REPAIR;SN-PH-0004;Apple;iPhone 14;2023-09-20;2025-09-20;799.00;1a1a1a1a-0000-0000-0000-000000000003
2b2b2b2b-0000-0000-0000-000000000005;INV-0005;MacBook Pro 14;LAPTOP;IN_STOCK;OK;SN-LT-0005;Apple;MacBook Pro 14 M3;2024-11-01;2027-11-01;2400.00;
2b2b2b2b-0000-0000-0000-000000000006;INV-0006;ThinkPad T14;LAPTOP;DECOMMISSIONED;OK;SN-LT-0006;Lenovo;T14 Gen 2;2019-05-10;2022-05-10;1100.00;
2b2b2b2b-0000-0000-0000-000000000007;INV-0007;Surface Laptop 5;LAPTOP;DECOMMISSIONED;OK;SN-LT-0007;Microsoft;Surface Laptop 5;2023-02-14;2026-02-14;1500.00;
2b2b2b2b-0000-0000-0000-000000000008;INV-0008;HP EliteDesk 800;DESKTOP;ASSIGNED;OK;SN-DT-0008;HP;EliteDesk 800 G9;2023-07-01;2026-07-01;850.00;1a1a1a1a-0000-0000-0000-000000000005
2b2b2b2b-0000-0000-0000-000000000009;INV-0009;HP EliteDesk 800 (spare);DESKTOP;IN_STOCK;OK;SN-DT-0009;HP;EliteDesk 800 G9;2023-07-01;2026-07-01;850.00;
2b2b2b2b-0000-0000-0000-000000000010;INV-0010;LG UltraWide 34";MONITOR;ASSIGNED;OK;SN-MN-0010;LG;34WN80C;2022-09-15;2025-09-15;550.00;1a1a1a1a-0000-0000-0000-000000000006
2b2b2b2b-0000-0000-0000-000000000011;INV-0011;Logitech MX Keys;KEYBOARD;ASSIGNED;OK;SN-KB-0011;Logitech;MX Keys;2023-03-01;2025-03-01;110.00;1a1a1a1a-0000-0000-0000-000000000001
2b2b2b2b-0000-0000-0000-000000000012;INV-0012;Logitech K120;KEYBOARD;IN_STOCK;OK;SN-KB-0012;Logitech;K120;2021-01-01;2023-01-01;20.00;
2b2b2b2b-0000-0000-0000-000000000013;INV-0013;Logitech MX Master 3;MOUSE;ASSIGNED;OK;SN-MS-0013;Logitech;MX Master 3;2023-03-01;2025-03-01;90.00;1a1a1a1a-0000-0000-0000-000000000007
2b2b2b2b-0000-0000-0000-000000000014;INV-0014;HP Wireless Mouse;MOUSE;DECOMMISSIONED;OK;SN-MS-0014;HP;Wireless Mouse 220;2022-04-01;2024-04-01;25.00;
2b2b2b2b-0000-0000-0000-000000000015;INV-0015;HP LaserJet Pro;PRINTER;ASSIGNED;OK;SN-PR-0015;HP;LaserJet Pro M404dn;2021-08-01;2024-08-01;320.00;1a1a1a1a-0000-0000-0000-000000000003
2b2b2b2b-0000-0000-0000-000000000016;INV-0016;Canon PIXMA G7020;PRINTER;ASSIGNED;IN_REPAIR;SN-PR-0016;Canon;PIXMA G7020;2022-10-10;2024-10-10;280.00;1a1a1a1a-0000-0000-0000-000000000006
2b2b2b2b-0000-0000-0000-000000000017;INV-0017;Epson EcoTank L3250;PRINTER;DECOMMISSIONED;OK;SN-PR-0017;Epson;EcoTank L3250;2019-01-01;2021-01-01;200.00;
2b2b2b2b-0000-0000-0000-000000000018;INV-0018;Samsung Galaxy S23;PHONE;ASSIGNED;IN_REPAIR;SN-PH-0018;Samsung;Galaxy S23;2023-05-01;2025-05-01;750.00;1a1a1a1a-0000-0000-0000-000000000009
2b2b2b2b-0000-0000-0000-000000000019;INV-0019;iPad Pro 12.9;TABLET;ASSIGNED;OK;SN-TB-0019;Apple;iPad Pro 12.9;2023-11-01;2026-11-01;1100.00;1a1a1a1a-0000-0000-0000-000000000004
2b2b2b2b-0000-0000-0000-000000000020;INV-0020;Samsung Galaxy Tab S9;TABLET;IN_STOCK;IN_REPAIR;SN-TB-0020;Samsung;Galaxy Tab S9;2023-06-01;2025-06-01;700.00;
2b2b2b2b-0000-0000-0000-000000000021;INV-0021;Cisco Catalyst 2960;NETWORK;ASSIGNED;OK;SN-NW-0021;Cisco;Catalyst 2960;2020-01-15;2025-01-15;1200.00;1a1a1a1a-0000-0000-0000-000000000003
2b2b2b2b-0000-0000-0000-000000000022;INV-0022;Ubiquiti UniFi AP;NETWORK;DECOMMISSIONED;OK;SN-NW-0022;Ubiquiti;UniFi AP AC Pro;2018-06-01;2020-06-01;150.00;
2b2b2b2b-0000-0000-0000-000000000023;INV-0023;Logitech Brio 4K;OTHER;IN_STOCK;OK;SN-OT-0023;Logitech;Brio 4K;2023-08-01;2025-08-01;180.00;
2b2b2b2b-0000-0000-0000-000000000024;INV-0024;Dell Docking Station;OTHER;ASSIGNED;OK;SN-OT-0024;Dell;WD19S;2023-02-01;2025-02-01;220.00;1a1a1a1a-0000-0000-0000-000000000006
