ID;asset_ID;requestedBy_ID;description;priority_code;status_code;technician;createdDate;resolvedDate;resolutionDays
3c3c3c3c-0000-0000-0000-000000000001;2b2b2b2b-0000-0000-0000-000000000001;1a1a1a1a-0000-0000-0000-000000000001;Battery drains very fast, barely lasts 2 hours;LOW;OPEN;;2026-08-20;;
3c3c3c3c-0000-0000-0000-000000000002;2b2b2b2b-0000-0000-0000-000000000010;1a1a1a1a-0000-0000-0000-000000000006;Flickering screen at startup, stabilizes after a minute;MEDIUM;OPEN;;2026-08-21;;
3c3c3c3c-0000-0000-0000-000000000003;2b2b2b2b-0000-0000-0000-000000000011;1a1a1a1a-0000-0000-0000-000000000001;Several keys stopped responding after a coffee spill;HIGH;OPEN;;2026-08-22;;
3c3c3c3c-0000-0000-0000-000000000004;2b2b2b2b-0000-0000-0000-000000000021;1a1a1a1a-0000-0000-0000-000000000003;Port 12 not forwarding traffic, suspected hardware fault, affects whole floor;CRITICAL;OPEN;;2026-08-23;;
3c3c3c3c-0000-0000-0000-000000000005;2b2b2b2b-0000-0000-0000-000000000004;1a1a1a1a-0000-0000-0000-000000000003;Volume buttons feel loose, low urgency;LOW;IN_PROGRESS;Carla Nowak;2026-08-05;;
3c3c3c3c-0000-0000-0000-000000000006;2b2b2b2b-0000-0000-0000-000000000016;1a1a1a1a-0000-0000-0000-000000000006;Printer jams every few pages, feed roller likely worn;MEDIUM;IN_PROGRESS;Carla Nowak;2026-08-15;;
3c3c3c3c-0000-0000-0000-000000000007;2b2b2b2b-0000-0000-0000-000000000002;1a1a1a1a-0000-0000-0000-000000000002;Computer does not power on;HIGH;IN_PROGRESS;Carla Nowak;2026-08-10;;
3c3c3c3c-0000-0000-0000-000000000008;2b2b2b2b-0000-0000-0000-000000000018;1a1a1a1a-0000-0000-0000-000000000009;Screen completely shattered after a drop, device unusable, urgent;CRITICAL;IN_PROGRESS;Carla Nowak;2026-08-18;;
3c3c3c3c-0000-0000-0000-000000000009;2b2b2b2b-0000-0000-0000-000000000013;1a1a1a1a-0000-0000-0000-000000000007;Scroll wheel skipping, replaced with new unit;LOW;COMPLETED;Carla Nowak;2026-06-15;2026-06-16;1
3c3c3c3c-0000-0000-0000-000000000010;2b2b2b2b-0000-0000-0000-000000000019;1a1a1a1a-0000-0000-0000-000000000004;Screen protector cracked, replaced and recalibrated digitizer;MEDIUM;COMPLETED;Carla Nowak;2026-05-01;2026-05-05;4
3c3c3c3c-0000-0000-0000-000000000011;2b2b2b2b-0000-0000-0000-000000000008;1a1a1a1a-0000-0000-0000-000000000005;Random blue screen crashes, resolved via driver and firmware update;HIGH;COMPLETED;Carla Nowak;2026-05-20;2026-05-22;2
3c3c3c3c-0000-0000-0000-000000000012;2b2b2b2b-0000-0000-0000-000000000024;1a1a1a1a-0000-0000-0000-000000000006;Faulty USB-C port causing intermittent disconnects, unit replaced;CRITICAL;COMPLETED;Carla Nowak;2026-04-10;2026-04-11;1
